elevatorAddress,unloadCapacity,lat,loadCapacity,odhiRegion,propertyTypeCategory,cert,transportTypes,shortName,propertyType,capacity,lng,fullName
"57324, вул. Дорожна, буд. 17, 46, 30, 28, 13а, 18, 14а, 48, с. Широке, Снігурівський р-н., Миколаївська обл.",800,47.0986111,1300,Миколаївська,Власники 6+,5537,autocar,"НІБУЛОН СП, ТОВ (Снігурівська філія)",Нібулон,15000,32.6713889,"Товариство з обмеженою відповідальністю сільськогосподарське підприємство ""НІБУЛОН"""
"08800, вул. Паризької Комуни, буд. 6, м. Миронівка, Київська обл.",3600,49.6500000,2100,Київська,Інші,5538,"train,autocar","Миронівське ХПП, ПАТ",Приватний,29500,30.9853333,"Публічне акціонерне товариство ""Миронівське хлібоприймальне підприємство"""
"42440, с. Самотоївка, ст. Корчаківка, Краснопільський р-н., Сумська обл.",1300,50.8198030,1600,Сумська,Інші,5539,"train,autocar","Краснопільське ХПП, ТОВ",Приватний,18400,35.1369980,"Товариство з обмеженою відповідальністю ""Краснопільське ХПП"""
"93113, вул. Артемівська, буд. 33, м. Лисичанськ, Луганська обл.",600,48.9136970,1000,Луганська,Інші,5540,"train,autocar","Лотуре-Зернопром, ТОВ",Приватний,15000,38.4346410,"Товариство з обмеженою відповідальністю ""Лотуре-Зернопром"""
"26245, вул. Привокзальна, буд. 1, с. Плетений Ташлик, Маловисківський р-н., Кіровоградська обл.",800,48.4844444,600,Кіровоградська,Власники 6+,5541,"train,autocar","НЗК, ТОВ (Плетеноташлицький ХПП)",Нікопольська ЗК,12800,31.6700000,"Товариство з обмеженою відповідальністю ""Нікопольська зернова компанія"""""
"38413, пр-кт. Перемоги, буд. 3, с. Жовтневе, Решетилівський р-н., Полтавська обл.",720,49.6431885,600,Полтавська,Інші,5542,"train,autocar","Полтавський елеватор ЛТД, ПП",Приватний,15000,34.1409971,"Приватне підприємство ""Полтавський елеватор ЛТД"""
"27100, вул. Ак. Курчатова, буд. 32, м. Новоукраїнка, Кіровоградська обл.",400,48.3155556,600,Кіровоградська,Інші,5543,autocar,"Гермес Агро, ТОВ",Приватний,6600,31.5279444,"Товариство з обмеженою відповідальністю ""Гермес Агро"""
"67840, вул. Залізнична, буд. 3, с. Молодіжне, Овідіопольський р-н., Одеська обл.",1440,46.3043970,1440,Одеська,Інші,5544,autocar,"Транссервіс 2008, ТОВ",Приватний,2500,30.6079290,"Товариство з обмеженою відповідальністю ""Транссервіс 2008"""
"20800, вул. Л. Борисової, буд. 88, м. Кам\'янка, Черкаська обл.",2200,49.0306474,2300,Черкаська,Інші,5545,"train,autocar","АСТІ Кам\'янський елеватор, ТОВ",Приватний,44500,32.1150933,"Товариство з обмеженою відповідальністю ""АСТІ Кам\'янський елеватор"""
"55325, вул. Ювілейна, буд. 1, корп. А, с. Благодатне, Арбузинський р-н., Миколаївська обл.",1500,47.9958333,2400,Миколаївська,Інші,5546,autocar,"Благодатненський птахопром АП, ПП",Приватний,71000,31.1466667,"Приватне підприємство ""Аграрне підприємство ""Благодатненський птахопром"""
